GenGoal_frac_Other,GenGoal_frac_Performance Variation,Outer_iter,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,Outer_MeanRewards,Outer_Success
0.0,0.0,234,0.13333333333333333,0.03666666666666667,0.83,0.8737745098039217,0.8737745098039217
0.0,0.0,235,0.13666666666666666,0.056666666666666664,0.8066666666666666,0.8737745098039216,0.8737745098039216
0.0,0.0,236,0.10333333333333333,0.03666666666666667,0.86,0.8627450980392157,0.8627450980392157
0.0,0.0,237,0.12,0.056666666666666664,0.8233333333333334,0.8799019607843137,0.8799019607843137
0.0,0.0,238,0.08666666666666667,0.06666666666666667,0.8466666666666667,0.8541666666666667,0.8541666666666667
0.0,0.0,239,0.12333333333333334,0.06333333333333334,0.8133333333333334,0.8394607843137254,0.8394607843137254
0.0,0.0,240,0.13,0.06666666666666667,0.8033333333333333,0.8541666666666667,0.8541666666666667
0.0,0.0,241,0.12333333333333334,0.043333333333333335,0.8333333333333334,0.8627450980392156,0.8627450980392156
0.0,0.0,242,0.08666666666666667,0.05333333333333334,0.86,0.8517156862745099,0.8517156862745099
0.0,0.0,243,0.12,0.03333333333333333,0.8466666666666667,0.8419117647058824,0.8419117647058824
0.0,0.0,244,0.11,0.04666666666666667,0.8433333333333334,0.8541666666666666,0.8541666666666666
0.0,0.0,245,0.10666666666666667,0.04,0.8533333333333334,0.857843137254902,0.857843137254902
0.0,0.0,246,0.08666666666666667,0.05,0.8633333333333333,0.8590686274509803,0.8590686274509803
0.0,0.0,247,0.12666666666666668,0.043333333333333335,0.83,0.8492647058823529,0.8492647058823529
0.0,0.0,248,0.11,0.03,0.86,0.8615196078431373,0.8615196078431373
0.0,0.0,249,0.10666666666666667,0.02,0.8733333333333333,0.8578431372549019,0.8578431372549019
0.0,0.0,250,0.11333333333333333,0.03333333333333333,0.8533333333333334,0.8517156862745098,0.8517156862745098
0.0,0.0,251,0.11333333333333333,0.03,0.8566666666666667,0.8553921568627451,0.8553921568627451
0.0,0.0,252,0.09333333333333334,0.02666666666666667,0.88,0.8566176470588235,0.8566176470588235
0.0,0.0,253,0.07333333333333333,0.02666666666666667,0.9,0.857843137254902,0.857843137254902
0.0,0.0,254,0.08333333333333333,0.05,0.8666666666666667,0.8651960784313725,0.8651960784313725
0.0,0.0,255,0.07666666666666666,0.043333333333333335,0.88,0.8590686274509803,0.8590686274509803
0.0,0.0,256,0.11333333333333333,0.02,0.8666666666666667,0.8639705882352942,0.8639705882352942
0.0,0.0,257,0.11,0.03333333333333333,0.8566666666666667,0.8848039215686275,0.8848039215686275
0.0,0.0,258,0.06333333333333334,0.023333333333333334,0.9133333333333333,0.8811274509803922,0.8811274509803922
0.0,0.0,259,0.09333333333333334,0.02,0.8866666666666667,0.8884803921568627,0.8884803921568627
0.0,0.0,260,0.12,0.023333333333333334,0.8566666666666667,0.8835784313725491,0.8835784313725491
0.0,0.0,261,0.06,0.02666666666666667,0.9133333333333333,0.903186274509804,0.903186274509804
0.0,0.0,262,0.09333333333333334,0.043333333333333335,0.8633333333333333,0.9031862745098039,0.9031862745098039
0.0,0.0,263,0.08333333333333333,0.02,0.8966666666666666,0.9044117647058824,0.9044117647058824
0.0,0.0,264,0.07666666666666666,0.013333333333333334,0.91,0.9068627450980393,0.9068627450980393
0.0,0.0,265,0.03333333333333333,0.06,0.9066666666666666,0.8897058823529411,0.8897058823529411
0.0,0.0,266,0.06333333333333334,0.043333333333333335,0.8933333333333333,0.8995098039215687,0.8995098039215687
0.0,0.0,267,0.07666666666666666,0.04666666666666667,0.8766666666666667,0.8860294117647058,0.8860294117647058
0.0,0.0,268,0.07,0.023333333333333334,0.9066666666666666,0.892156862745098,0.892156862745098
0.0,0.0,269,0.06,0.02666666666666667,0.9133333333333333,0.9056372549019607,0.9056372549019607
